"company_id","company_name","company_url","valid_check_skip"
"Axa","アクサ生命保険株式会社","https://www.axa.co.jp",
"Axa_direct_life","アクサダイレクト生命保険株式会社","https://www.axa-direct-life.co.jp",
"Asahi_life","朝日生命保険相互会社","https://www.asahi-life.co.jp",
"Aflac","アフラック生命保険株式会社","https://www.aflac.co.jp",
"Aeon_allianz","イオン・アリアンツ生命保険株式会社","https://www.aeon-allianz.co.jp",
"Sbilife","ＳＢＩ生命保険株式会社","https://www.sbilife.co.jp",
"Nnlife","エヌエヌ生命保険株式会社","https://www.nnlife.co.jp",
"Fwdlife","ＦＷＤ生命保険株式会社","https://www.fwdlife.co.jp","Yes"
"Orixlife","オリックス生命保険株式会社","https://www.orixlife.co.jp",
"Cardif","カーディフ生命保険株式会社","https://life.cardif.co.jp",
"Jp_life","株式会社かんぽ生命保険","https://www.jp-life.japanpost.jp",
"Ca_life","クレディ・アグリコル生命保険株式会社","https://www.ca-life.jp",
"Gib_life","ジブラルタ生命保険株式会社","https://www.gib-life.co.jp",
"Sumitomolife","住友生命保険相互会社","https://www.sumitomolife.co.jp",
"Sonylife","ソニー生命保険株式会社","https://www.sonylife.co.jp",
"Himawari_life","ＳＯＭＰＯひまわり生命保険株式会社","https://www.himawari-life.co.jp",
"Dai_ichi_life","第一生命保険株式会社","https://www.dai-ichi-life.co.jp",
"D_frontier_life","第一フロンティア生命保険株式会社","https://www.d-frontier-life.co.jp",
"Taiju_life","大樹生命保険株式会社","https://www.taiju-life.co.jp",
"Daido_life","大同生命保険株式会社","https://www.daido-life.co.jp",
"Taiyo_seimei","太陽生命保険株式会社","https://www.taiyo-seimei.co.jp",
"Zurichlife","チューリッヒ生命株式会社","https://www.zurichlife.co.jp",
"Tdf_life","Ｔ＆Ｄフィナンシャル生命保険株式会社","https://www.tdf-life.co.jp","Yes"
"Tmn_anshin","東京海上日動あんしん生命保険株式会社","https://www.tmn-anshin.co.jp",
"Nanairolife","なないろ生命保険株式会社","https://www.nanairolife.co.jp",
"Nw_life","ニッセイ・ウェルス生命保険株式会社","https://www.nw-life.co.jp",
"Nissay","日本生命保険相互会社","https://www.nissay.co.jp",
"Neofirst","ネオファースト生命保険株式会社","https://neofirst.co.jp",
"Life8739","はなさく生命保険株式会社","https://www.life8739.co.jp",
"Fukoku_life","富国生命保険相互会社","https://www.fukoku-life.co.jp",
"Fukokushinrai","フコクしんらい生命保険株式会社","https://www.fukokushinrai.co.jp",
"Prudential","プルデンシャル生命保険株式会社","https://www.prudential.co.jp",
"Pgf_life","ＰＧＦ生命","https://www.pgf-life.co.jp",
"Manulife","マニュライフ生命保険株式会社","https://www.manulife.co.jp",
"Msa_life","三井住友海上あいおい生命保険株式会社","https://www.msa-life.co.jp",
"Ms_primary","三井住友海上プライマリー生命保険株式会社","https://www.ms-primary.com",
"Midori_life","みどり生命保険株式会社","https://midori-life.com",
"Meijiyasuda","明治安田生命保険相互会社","https://www.meijiyasuda.co.jp",
"Metlife","メットライフ生命保険株式会社","https://www.metlife.co.jp",
"Medicarelife","メディケア生命保険株式会社","https://www.medicarelife.com",
"Lifenet_seimei","ライフネット生命保険株式会社","https://www.lifenet-seimei.co.jp",
"Rakuten_life","楽天生命保険株式会社","https://www.rakuten-life.co.jp",
